name,full_name,language,stars,forks,contributors_count,growth_signal,maturity_score,compliance_score
PowerToys,microsoft/PowerToys,C#,124775,7426,414,1.0,94.0309467353317,1.0
tensorflow,tensorflow/tensorflow,C++,192085,74915,412,1.0,90.86363636363636,1.0
SecLists,danielmiessler/SecLists,PHP,66380,24713,304,1.0,88.85483870967742,0.75
react-native,facebook/react-native,C++,124204,24893,305,1.0,85.23961013249502,1.0
mastodon,mastodon/mastodon,Ruby,49133,7334,405,1.0,83.80785425642961,1.0
firefox-ios,mozilla-mobile/firefox-ios,Swift,12738,3102,371,1.0,81.19147952473757,1.0
protobuf,protocolbuffers/protobuf,C++,69319,15911,372,1.0,80.86279291343897,1.0
zed,zed-industries/zed,Rust,67800,5592,484,1.0,80.7394126074692,1.0
servo,servo/servo,Rust,31751,3277,410,1.0,80.14411925913723,1.0
superset,apache/superset,TypeScript,68540,16018,424,1.0,78.65127617007676,1.0
loki,grafana/loki,Go,26729,3826,446,1.0,78.3211509490298,1.0
n8n,n8n-io/n8n,TypeScript,149932,47646,422,1.0,77.81006526338273,1.0
Signal-Android,signalapp/Signal-Android,Kotlin,27779,6555,330,1.0,77.56199600050118,0.75
nest,nestjs/nest,TypeScript,73095,8067,389,1.0,77.0823928553956,1.0
coreutils,uutils/coreutils,Rust,21920,1607,376,1.0,77.00279975225673,1.0
RSSHub,DIYgod/RSSHub,TypeScript,39358,8625,428,1.0,76.64317089561364,1.0
llama.cpp,ggml-org/llama.cpp,C++,87997,13373,447,1.0,76.01491893378278,0.75
ClickHouse,ClickHouse/ClickHouse,C++,43445,7730,298,1.0,76.00468278824674,1.0
envoy,envoyproxy/envoy,C++,26858,5111,376,1.0,76.00404597288988,1.0
milvus,milvus-io/milvus,Go,37985,3474,290,1.0,75.98983496044163,1.0
