language,enterprise_ready_count,total_repos,support_load,compliance_score,enterprise_ready_pct
TypeScript,40,100,1.6108447391387641,0.7875,40.0
JavaScript,35,100,1.1431045340050376,0.745,35.0
Rust,33,100,1.9398952478283085,0.7475,33.0
C++,32,100,2.4258760107816713,0.7425,32.0
Go,32,100,1.405108359133127,0.7425,32.0
Ruby,26,100,0.49375582479030755,0.72,26.0
C#,25,100,2.667830290010741,0.67,25.0
Python,21,100,2.120257452574526,0.67,21.0
Swift,21,100,1.2773845439777212,0.6875,21.0
Kotlin,18,100,1.157708888043616,0.67,18.0
Java,15,100,2.0354838709677416,0.6425,15.0
PHP,12,100,0.45083375080512417,0.64,12.0
