language,repo_count,maturity_score,growth_signal,compliance_score,support_load,stars,forks,contributors_count
TypeScript,100,56.48,0.68,0.79,1.61,68601.51,9956.77,311.21
Rust,100,55.53,0.62,0.75,1.94,34618.33,2337.57,258.37
Go,100,53.73,0.57,0.74,1.41,43019.2,4937.63,249.6
C++,100,52.45,0.57,0.74,2.43,37213.89,6835.09,222.23
JavaScript,100,50.54,0.4,0.74,1.14,58734.37,8973.08,241.08
Python,100,50.24,0.51,0.67,2.12,78107.21,13154.42,227.56
Ruby,100,49.63,0.41,0.72,0.49,14640.28,2674.38,206.53
Java,100,47.96,0.44,0.64,2.04,36079.82,9819.08,178.61
C#,100,44.32,0.43,0.67,2.67,18380.12,2842.45,149.39
Kotlin,100,44.27,0.37,0.67,1.16,14053.27,2184.16,112.18
PHP,100,44.14,0.4,0.64,0.45,15370.67,2822.85,182.55
Swift,100,43.4,0.25,0.69,1.28,14861.32,1541.15,98.94
